Country,Latitude,Longitude
Afghanistan,33,65
Angola,-12.5,18.5
Albania,41,20
Algeria,28,3
Argentina,-34,-64
Armenia,40,45
Australia,-27,133
Austria,47.33,13.33
Azerbaijan,40.5,47.5
Bahamas,24.25,-76
Bahrain,26,50.55
Bangladesh,24,90
Barbados,13.17,-59.53
Belarus,53,28
Belgium,50.83,4
Benin,9.5,2.25
Bhutan,27.5,90.5
Bolivia,-17,-65
Bosnia and Herzegovina,44,18
Botswana,-22,24
Brazil,-10,-55
Brunei Darussalam,4.5,114.67
Bulgaria,43,25
Burkina Faso,13,-2
Burundi,-3.5,30
Cameroon,6,12
Canada,60,-95
Cayman Islands,19.5,-80.5
Central African Republic,7,21
Chad,15,19
Chile,-30,-71
China,35,105
Colombia,4,-72
Comoros,-12.17,44.25
Congo,-1,15
"Congo, Democratic Republic of",0,25
Costa Rica,10,-84
Cote d'Ivoire,8,-5
Croatia,45.17,15.5
Cuba,21.5,-80
Cyprus,35,33
Czech Republic,49.75,15.5
Denmark,56,10
Dominica,15.42,-61.33
Dominican Republic,19,-70.67
Ecuador,-2,-77.5
Egypt,27,30
El Salvador,13.83,-88.92
Equatorial Guinea,2,10
Ethiopia,8,38
Fiji,-18,175
France,46,2
French Polynesia,-15,-140
Gabon,-1,11.75
Gambia,13.47,-16.57
Georgia,42,43.5
Germany,51,9
Ghana,8,-2
Greece,39,22
Guatemala,15.5,-90.25
Guinea,11,-10
Guinea-Bissau,12,-15
Guyana,5,-59
Haiti,19,-72.42
Honduras,15,-86.5
Hungary,47,20
India,20,77
Indonesia,-5,120
"Iran, Islamic Republic of",32,53
Iraq,33,44
Ireland,53,-8
Israel,31.5,34.75
Italy,42.83,12.83
Jamaica,18.25,-77.5
Japan,36,138
Jordan,31,36
Kazakhstan,48,68
Kenya,1,38
"Korea, Democratic People's Republic of",40,127
"Korea, Republic of",37,127.5
Kuwait,29.34,47.66
Kyrgyzstan,41,75
Lao People's Democratic Republic,18,105
Latvia,57,25
Lebanon,33.83,35.83
Lesotho,-29.5,28.5
Liberia,6.5,-9.5
Libya,25,17
Lithuania,56,24
Luxembourg,49.75,6.17
Macedonia ,41.83,22
Madagascar,-20,47
Malawi,-13.5,34
Malaysia,2.5,112.5
Mali,17,-4
Mauritania,20,-12
Mauritius,-20.28,57.55
Mexico,23,-102
Moldova,47,29
Mongolia,46,105
Montenegro,42,19
Morocco,32,-5
Mozambique,-18.25,35
Myanmar,22,98
Namibia,-22,17
Nepal,28,84
Netherlands,52.5,5.75
New Caledonia,-21.5,165.5
New Zealand,-41,174
Nicaragua,13,-85
Niger,16,8
Nigeria,10,8
Oman,21,57
Pakistan,30,70
Panama,9,-80
Papua New Guinea,-6,147
Paraguay,-23,-58
Peru,-10,-76
Philippines,13,122
Poland,52,20
Portugal,39.5,-8
Qatar,25.5,51.25
Romania,46,25
Russian Federation,60,100
Rwanda,-2,30
Saint Kitts and Nevis,17.33,-62.75
Saint Lucia,13.88,-61.13
Samoa,-13.58,-172.33
Sao Tome and Principe,1,7
Saudi Arabia,25,45
Senegal,14,-14
Serbia,44,21
Sierra Leone,8.5,-11.5
Singapore,1.37,103.8
Slovakia,48.67,19.5
Slovenia,46,15
Solomon Islands,-8,159
Somalia,10,49
South Africa,-29,24
Spain,40,-4
Sri Lanka,7,81
Suriname,4,-56
Swaziland,-26.5,31.5
Sweden,62,15
Switzerland,47,8
Syrian Arab Republic,35,38
Tajikistan,39,71
"Tanzania, United Republic of",-6,35
Thailand,15,100
Timor-Leste,,
Togo,8,1.17
Tonga,-20,-175
Trinidad and Tobago,11,-61
Tunisia,34,9
Turkey,39,35
Turkmenistan,40,60
Uganda,1,32
Ukraine,49,32
United Kingdom,54,-2
United Arab Emirates,24,54
United States of America,38,-97
Uruguay,-33,-56
Uzbekistan,41,64
Venezuela,8,-66
Vietnam,16,106
Yemen,15,48
Zambia,-15,30
Zimbabwe,-20,30
